Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
ADANIENSOL.NS,2022-07-15,2970.3999,2022-11-25,2790.8501,3,-555.93,-6.23,Exit rule,133
MARUTI.NS,2022-08-02,8985.0,2022-12-22,8356.6504,1,-645.69,-7.18,Exit rule,142
ADANIENT.NS,2022-07-18,2424.0,2023-01-30,2850.0,4,1682.9,17.34,Exit rule,196
SBILIFE.NS,2022-08-02,1310.0,2023-02-01,1219.55,7,-650.86,-7.09,Exit rule,183
HINDUNILVR.NS,2022-12-08,2695.05,2023-02-20,2518.0,3,-546.79,-6.76,Exit rule,74
M&M.NS,2022-06-28,1082.0,2023-03-14,1192.3,9,972.23,9.97,Exit rule,259
COALINDIA.NS,2022-08-01,212.5,2023-03-27,208.5,47,-207.79,-2.08,Exit rule,238
HDFCBANK.NS,2023-05-05,819.5,2023-08-18,793.775,12,-328.06,-3.33,Exit rule,105
GODREJCP.NS,2023-03-21,961.15,2023-09-26,975.0,10,119.14,1.24,Exit rule,189
SIEMENS.NS,2022-07-11,1567.2886,2023-10-23,2020.3348,6,2696.75,28.65,Exit rule,469
ITC.NS,2022-07-04,275.0567,2024-02-09,394.8915,36,4289.93,43.28,Exit rule,585
CHOLAFIN.NS,2023-04-10,847.8,2024-02-22,1088.7,11,2628.6,28.16,Exit rule,318
BANKBARODA.NS,2022-08-03,121.5,2024-08-06,241.55,82,9814.33,98.41,Exit rule,734
ONGC.NS,2023-10-03,189.3,2024-10-23,270.0,52,4172.52,42.35,Exit rule,386
IOC.NS,2023-11-08,105.4,2024-10-23,154.9,94,4628.53,46.67,Exit rule,350
DLF.NS,2023-05-09,437.0,2024-10-28,794.0,22,7826.92,81.33,Exit rule,538
ZYDUSLIFE.NS,2023-05-04,521.0,2024-11-08,974.0,19,8578.59,86.57,Exit rule,554
ICICIPRULI.NS,2024-08-09,741.1,2024-12-20,664.5,13,-1014.07,-10.52,Exit rule,133
TVSMOTOR.NS,2022-06-28,798.9,2024-12-31,2359.8999,12,18694.09,194.8,Exit rule,917
SBIN.NS,2024-02-09,703.65,2025-01-07,779.85,14,1046.03,10.61,Exit rule,333
ULTRACEMCO.NS,2023-03-28,7484.0,2025-01-14,10570.0,1,3067.95,40.95,Exit rule,658
APOLLOHOSP.NS,2024-02-22,6765.0,2025-02-12,6349.6001,1,-428.51,-6.33,Exit rule,356
MANKIND.NS,2024-12-19,2775.1001,2025-02-13,2448.0,3,-996.97,-11.96,Exit rule,56
M&M.NS,2023-08-18,1568.75,2025-02-24,2669.0,6,6576.07,69.8,Exit rule,556
JSWSTEEL.NS,2025-03-25,1061.35,2025-04-08,949.35,9,-1026.1,-10.73,Exit rule,14
KOTAKBANK.NS,2025-02-11,392.92,2025-07-29,393.4,25,-7.66,-0.08,Exit rule,168
CHOLAFIN.NS,2025-04-22,1648.9,2025-08-01,1442.5,6,-1256.95,-12.69,Exit rule,101
ICICIBANK.NS,2025-04-21,1436.0,2025-09-30,1353.7,6,-510.54,-5.92,Exit rule,162
INDIGO.NS,2025-03-28,5149.8999,2025-12-08,5110.0,1,-50.16,-0.97,Exit rule,255
HDFCBANK.NS,2025-04-17,941.0,2026-01-08,944.7,10,18.14,0.19,Exit rule,266
HDFCLIFE.NS,2025-05-22,759.7,2026-01-19,726.9,13,-445.73,-4.51,Exit rule,242
BAJAJFINSV.NS,2025-04-21,2037.1,2026-01-21,1964.9,4,-304.81,-3.74,Exit rule,275
PNB.NS,2026-01-19,132.3,2026-03-10,117.0,75,-1166.2,-11.74,Exit rule,50
TVSMOTOR.NS,2025-08-06,2980.0,2026-03-16,3329.8999,3,1030.77,11.52,Exit rule,222
EICHERMOT.NS,2025-04-16,5549.0,2026-03-24,6800.0,1,1238.65,22.3,Exit rule,342
MARICO.NS,2025-05-06,722.65,2026-03-24,732.0,13,102.64,1.09,Exit rule,322
MOTHERSON.NS,2025-12-12,120.49,2026-03-24,110.5,82,-838.12,-8.47,Exit rule,102
VEDL.NS,2026-01-08,619.0,2026-05-01,271.55,16,-5573.45,-56.22,Exit rule,113
BEL.NS,2025-05-14,339.0,2026-06-02,405.8,29,1915.6,19.47,Exit rule,384
