Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
ULTRACEMCO.NS,2021-09-01,7832.0,2021-09-30,7490.0,1,-357.32,-4.56,Exit rule,29
AMBUJACEM.NS,2021-09-03,430.85,2021-09-30,408.0,23,-544.84,-5.49,Exit rule,27
COLPAL.NS,2021-09-08,1731.65,2021-10-20,1637.05,5,-489.84,-5.65,Exit rule,42
HINDALCO.NS,2021-09-01,474.0,2021-10-25,473.55,21,-29.35,-0.29,Exit rule,54
AXISBANK.NS,2021-08-11,765.0,2021-10-29,762.0,13,-58.85,-0.59,Exit rule,79
WIPRO.NS,2021-10-18,359.5,2021-11-01,325.55,27,-935.15,-9.62,Exit rule,14
AMBUJACEM.NS,2021-11-02,410.0,2021-11-23,387.0,24,-571.13,-5.8,Exit rule,21
BEL.NS,2021-09-02,63.5833,2021-11-29,65.4167,157,267.58,2.68,Exit rule,88
DLF.NS,2021-09-06,344.75,2021-11-29,376.15,28,859.01,8.89,Exit rule,84
UNITDSPR.NS,2021-11-01,964.95,2021-11-29,882.0,10,-847.97,-8.78,Exit rule,28
TRENT.NS,2021-11-17,1189.85,2021-11-30,1025.0,8,-1336.52,-14.03,Exit rule,13
APOLLOHOSP.NS,2021-11-10,4522.1001,2021-12-20,4780.0,2,497.2,5.49,Exit rule,40
VBL.NS,2021-11-02,122.9333,2021-12-21,110.6667,81,-1012.52,-10.16,Exit rule,49
TECHM.NS,2021-10-20,1544.0,2022-01-19,1663.1,6,695.36,7.5,Exit rule,91
HCLTECH.NS,2021-12-03,1188.0,2022-01-19,1220.0,8,236.74,2.49,Exit rule,47
AMBUJACEM.NS,2022-01-04,387.55,2022-01-24,368.0,25,-507.64,-5.23,Exit rule,20
BAJAJFINSV.NS,2022-01-06,1770.1,2022-01-24,1638.85,5,-673.29,-7.6,Exit rule,18
KOTAKBANK.NS,2022-01-06,381.42,2022-02-09,367.12,26,-391.26,-3.94,Exit rule,34
IOC.NS,2022-01-10,79.3333,2022-02-15,78.0,125,-186.33,-1.88,Exit rule,36
HAL.NS,2022-01-13,657.475,2022-02-22,632.5,13,-341.44,-3.99,Exit rule,40
SBIN.NS,2022-01-06,487.7,2022-02-25,480.0,20,-173.35,-1.78,Exit rule,50
BANKBARODA.NS,2022-01-11,92.2,2022-02-25,104.0,108,1253.21,12.57,Exit rule,45
CHOLAFIN.NS,2022-01-06,560.0,2022-03-08,607.3,17,784.26,8.23,Exit rule,61
TECHM.NS,2022-03-10,1525.0,2022-04-13,1418.1,6,-659.06,-7.2,Exit rule,34
PIDILITIND.NS,2022-03-17,1242.5,2022-04-20,1180.6,8,-514.58,-5.17,Exit rule,34
INDIGO.NS,2022-03-17,1930.0,2022-04-28,1826.0,5,-538.78,-5.58,Exit rule,42
BAJFINANCE.NS,2022-03-21,700.0,2022-04-28,674.8,14,-372.05,-3.79,Exit rule,38
SBIN.NS,2022-03-17,499.0,2022-05-05,485.0,20,-299.68,-3.0,Exit rule,49
ADANIPOWER.NS,2022-05-23,64.33,2022-06-14,52.32,155,-1879.63,-18.83,Exit rule,22
ONGC.NS,2022-06-30,153.0,2022-07-04,129.95,65,-1516.64,-15.24,Exit rule,4
HDFCBANK.NS,2022-09-14,747.025,2022-09-26,712.675,13,-465.53,-4.79,Exit rule,12
VBL.NS,2022-09-07,218.75,2022-09-29,210.0,45,-413.04,-4.19,Exit rule,22
CGPOWER.NS,2022-09-20,242.5,2022-10-04,232.0,41,-449.95,-4.52,Exit rule,14
COALINDIA.NS,2022-10-07,233.0,2022-11-16,233.35,42,-4.89,-0.05,Exit rule,40
COLPAL.NS,2022-12-12,1660.0,2022-12-16,1558.95,6,-625.61,-6.27,Exit rule,4
CGPOWER.NS,2022-10-19,263.6,2022-12-22,262.9,37,-45.38,-0.46,Exit rule,64
ADANIPORTS.NS,2022-11-10,894.0,2022-12-26,798.0,11,-1074.61,-10.92,Exit rule,46
JSWSTEEL.NS,2022-10-07,671.4,2023-01-25,723.0,14,702.88,7.47,Exit rule,110
ADANIPOWER.NS,2022-12-29,61.0,2023-01-27,50.0,163,-1811.09,-18.2,Exit rule,29
PFC.NS,2023-01-03,120.72,2023-01-27,114.92,82,-494.92,-4.99,Exit rule,24
CANBK.NS,2023-01-03,67.4,2023-01-30,58.2,148,-1380.19,-13.82,Exit rule,27
IOC.NS,2023-01-06,79.3,2023-02-03,78.9,125,-69.78,-0.7,Exit rule,28
JINDALSTEL.NS,2022-12-29,572.0,2023-02-07,556.85,17,-276.74,-2.84,Exit rule,40
COALINDIA.NS,2023-01-23,228.5,2023-02-10,214.0,43,-642.53,-6.53,Exit rule,18
TITAN.NS,2023-02-06,2474.8501,2023-03-01,2370.0,4,-438.78,-4.43,Exit rule,23
INDUSINDBK.NS,2023-03-09,1174.25,2023-03-14,1060.1,8,-931.07,-9.9,Exit rule,5
SBIN.NS,2023-03-06,564.9,2023-03-16,518.4,17,-808.92,-8.41,Exit rule,10
CANBK.NS,2023-03-06,61.35,2023-03-16,56.0,162,-885.71,-8.9,Exit rule,10
NTPC.NS,2023-03-08,175.7,2023-04-18,170.0,56,-338.56,-3.44,Exit rule,41
VBL.NS,2023-02-08,261.6,2023-06-26,307.54,38,1724.09,17.33,Exit rule,138
BAJAJHLDNG.NS,2023-05-25,6900.0,2023-08-21,6943.2002,1,29.36,0.43,Exit rule,88
ZYDUSLIFE.NS,2023-06-16,552.15,2023-09-04,615.95,18,1127.37,11.33,Exit rule,80
IOC.NS,2023-09-11,95.5,2023-09-29,90.6,104,-528.95,-5.32,Exit rule,18
BPCL.NS,2023-09-12,182.5,2023-10-04,170.675,54,-657.62,-6.67,Exit rule,22
INDIGO.NS,2023-10-09,2498.05,2023-10-25,2420.95,3,-246.06,-3.28,Exit rule,16
SHRIRAMFIN.NS,2023-06-13,291.62,2023-10-26,363.23,34,2412.48,24.31,Exit rule,135
CHOLAFIN.NS,2023-08-29,1092.95,2023-10-26,1144.45,9,443.36,4.5,Exit rule,58
RECLTD.NS,2023-09-28,284.2,2023-10-27,267.0,35,-621.29,-6.24,Exit rule,29
DMART.NS,2023-11-29,3915.0,2024-01-08,3893.95,2,-57.72,-0.74,Exit rule,40
DLF.NS,2023-11-01,565.0,2024-01-24,739.95,17,2951.97,30.7,Exit rule,84
RECLTD.NS,2023-11-03,304.0,2024-02-13,449.55,32,4633.49,47.58,Exit rule,102
BAJAJ-AUTO.NS,2023-09-15,4894.8999,2024-03-01,7955.0,2,6094.5,62.19,Exit rule,168
